PERMNO,date,TICKER,PRC,RETX
29890,2008/12/15,BP,47.75000,0.015094
29890,2008/12/16,BP,49.34000,0.033298
29890,2008/12/17,BP,49.59000,0.005067
29890,2008/12/18,BP,46.45000,-0.063319
29890,2008/12/19,BP,45.13000,-0.028418
29890,2008/12/22,BP,44.90000,-0.005096
29890,2008/12/23,BP,44.77000,-0.002895
29890,2008/12/24,BP,44.17000,-0.013402
29890,2008/12/26,BP,44.45000,0.006339
29890,2008/12/29,BP,45.32000,0.019573
29890,2008/12/30,BP,45.82000,0.011033
29890,2008/12/31,BP,46.74000,0.020079
29890,2009/01/02,BP,48.45000,0.036585
29890,2009/01/05,BP,49.03000,0.011971
29890,2009/01/06,BP,49.05000,0.000408
29890,2009/01/07,BP,47.46000,-0.032416
29890,2009/01/08,BP,48.81000,0.028445
29890,2009/01/09,BP,47.13000,-0.034419
29890,2009/01/12,BP,45.70000,-0.030342
29890,2009/01/13,BP,45.22000,-0.010503
29890,2009/01/14,BP,43.19000,-0.044892
29890,2009/01/15,BP,43.50000,0.007178
29890,2009/01/16,BP,44.21000,0.016322
29890,2009/01/20,BP,41.27000,-0.066501
29890,2009/01/21,BP,42.09000,0.019869
29890,2009/01/22,BP,41.44000,-0.015443
29890,2009/01/23,BP,40.78000,-0.015927
29890,2009/01/26,BP,42.70000,0.047082
29890,2009/01/27,BP,43.06000,0.008431
29890,2009/01/28,BP,43.45000,0.009057
29890,2009/01/29,BP,42.44000,-0.023245
29890,2009/01/30,BP,42.47000,0.000707
29890,2009/02/02,BP,41.57000,-0.021191
29890,2009/02/03,BP,42.29000,0.017320
29890,2009/02/04,BP,42.99000,0.016552
29890,2009/02/05,BP,44.25000,0.029309
29890,2009/02/06,BP,45.54000,0.029153
29890,2009/02/09,BP,45.46000,-0.001757
29890,2009/02/10,BP,43.47000,-0.043775
29890,2009/02/11,BP,43.63000,0.003681
29890,2009/02/12,BP,44.34000,0.016273
29890,2009/02/13,BP,43.85000,-0.011051
29890,2009/02/17,BP,42.02000,-0.041733
29890,2009/02/18,BP,40.72000,-0.030938
29890,2009/02/19,BP,41.05000,0.008104
29890,2009/02/20,BP,40.10000,-0.023143
29890,2009/02/23,BP,38.65000,-0.036160
29890,2009/02/24,BP,40.07000,0.036740
29890,2009/02/25,BP,39.93000,-0.003494
29890,2009/02/26,BP,39.00000,-0.023291
29890,2009/02/27,BP,38.36000,-0.016410
29890,2009/03/02,BP,35.15000,-0.083681
29890,2009/03/03,BP,34.14000,-0.028734
29890,2009/03/04,BP,35.82000,0.049209
29890,2009/03/05,BP,34.54000,-0.035734
29890,2009/03/06,BP,35.32000,0.022582
29890,2009/03/09,BP,36.18000,0.024349
29890,2009/03/10,BP,37.23000,0.029022
29890,2009/03/11,BP,37.21000,-0.000537
29890,2009/03/12,BP,38.24000,0.027681
29890,2009/03/13,BP,38.29000,0.001308
29890,2009/03/16,BP,38.42000,0.003395
29890,2009/03/17,BP,39.35000,0.024206
29890,2009/03/18,BP,39.95000,0.015248
29890,2009/03/19,BP,40.21000,0.006508
29890,2009/03/20,BP,39.40000,-0.020144
29890,2009/03/23,BP,41.90000,0.063452
29890,2009/03/24,BP,41.29000,-0.014558
29890,2009/03/25,BP,41.45000,0.003875
29890,2009/03/26,BP,41.72000,0.006514
29890,2009/03/27,BP,40.91000,-0.019415
29890,2009/03/30,BP,39.43000,-0.036177
29890,2009/03/31,BP,40.10000,0.016992
29890,2009/04/01,BP,40.42000,0.007980
29890,2009/04/02,BP,41.64000,0.030183
29890,2009/04/03,BP,41.33000,-0.007445
29890,2009/04/06,BP,40.71000,-0.015001
29890,2009/04/07,BP,39.64000,-0.026283
29890,2009/04/08,BP,39.60000,-0.001009
29890,2009/04/09,BP,40.01000,0.010354
29890,2009/04/13,BP,39.92000,-0.002249
29890,2009/04/14,BP,39.19000,-0.018287
29890,2009/04/15,BP,39.33000,0.003572
29890,2009/04/16,BP,40.01000,0.017290
29890,2009/04/17,BP,40.13000,0.002999
29890,2009/04/20,BP,38.90000,-0.030650
29890,2009/04/21,BP,39.77000,0.022365
29890,2009/04/22,BP,39.11000,-0.016595
29890,2009/04/23,BP,40.85000,0.044490
29890,2009/04/24,BP,42.06000,0.029621
29890,2009/04/27,BP,41.92000,-0.003329
29890,2009/04/28,BP,42.62000,0.016698
29890,2009/04/29,BP,43.11000,0.011497
29890,2009/04/30,BP,42.46000,-0.015078
29890,2009/05/01,BP,43.87000,0.033208
29890,2009/05/04,BP,45.02000,0.026214
29890,2009/05/05,BP,44.84000,-0.003998
29890,2009/05/06,BP,46.13400,0.028858
29890,2009/05/07,BP,46.17000,0.000780
29890,2009/05/08,BP,48.34000,0.047000
29890,2009/05/11,BP,47.00000,-0.027720
29890,2009/05/12,BP,47.94000,0.020000
29890,2009/05/13,BP,46.04000,-0.039633
29890,2009/05/14,BP,46.22000,0.003910
29890,2009/05/15,BP,45.62000,-0.012981
29890,2009/05/18,BP,47.26000,0.035949
29890,2009/05/19,BP,47.10000,-0.003386
29890,2009/05/20,BP,47.78000,0.014437
29890,2009/05/21,BP,47.41000,-0.007744
29890,2009/05/22,BP,47.60000,0.004008
29890,2009/05/26,BP,48.55000,0.019958
29890,2009/05/27,BP,48.08000,-0.009681
29890,2009/05/28,BP,48.82000,0.015391
29890,2009/05/29,BP,49.50000,0.013929
29890,2009/06/01,BP,51.88000,0.048081
29890,2009/06/02,BP,52.32000,0.008481
29890,2009/06/03,BP,50.75000,-0.030008
29890,2009/06/04,BP,50.91000,0.003153
29890,2009/06/05,BP,50.36000,-0.010803
29890,2009/06/08,BP,51.35000,0.019658
29890,2009/06/09,BP,51.96000,0.011879
29890,2009/06/10,BP,52.16000,0.003849
29890,2009/06/11,BP,52.21000,0.000959
29890,2009/06/12,BP,51.20000,-0.019345
29890,2009/06/15,BP,49.85000,-0.026367
29890,2009/06/16,BP,49.30000,-0.011033
29890,2009/06/17,BP,48.40000,-0.018256
29890,2009/06/18,BP,47.72000,-0.014050
29890,2009/06/19,BP,48.83000,0.023261
29890,2009/06/22,BP,46.85000,-0.040549
29890,2009/06/23,BP,47.11000,0.005550
29890,2009/06/24,BP,46.97000,-0.002972
29890,2009/06/25,BP,47.43000,0.009793
29890,2009/06/26,BP,47.24000,-0.004006
29890,2009/06/29,BP,47.96000,0.015241
29890,2009/06/30,BP,47.68000,-0.005838
29890,2009/07/01,BP,47.97000,0.006082
29890,2009/07/02,BP,47.06000,-0.018970
29890,2009/07/06,BP,45.93000,-0.024012
29890,2009/07/07,BP,45.33000,-0.013063
29890,2009/07/08,BP,45.31000,-0.000441
29890,2009/07/09,BP,45.54000,0.005076
29890,2009/07/10,BP,45.22000,-0.007027
29890,2009/07/13,BP,46.20000,0.021672
29890,2009/07/14,BP,46.40000,0.004329
29890,2009/07/15,BP,48.33000,0.041595
29890,2009/07/16,BP,48.94000,0.012621
29890,2009/07/17,BP,48.72000,-0.004495
29890,2009/07/20,BP,50.15000,0.029351
29890,2009/07/21,BP,49.95000,-0.003988
29890,2009/07/22,BP,49.66000,-0.005806
29890,2009/07/23,BP,50.70000,0.020942
29890,2009/07/24,BP,50.65000,-0.000986
29890,2009/07/27,BP,51.34000,0.013623
29890,2009/07/28,BP,50.00000,-0.026101
29890,2009/07/29,BP,49.67000,-0.006600
29890,2009/07/30,BP,49.87000,0.004027
29890,2009/07/31,BP,50.04000,0.003409
29890,2009/08/03,BP,52.05000,0.040168
29890,2009/08/04,BP,51.72000,-0.006340
29890,2009/08/05,BP,51.55000,-0.003287
29890,2009/08/06,BP,50.51000,-0.020175
29890,2009/08/07,BP,51.11000,0.011879
29890,2009/08/10,BP,51.20000,0.001761
29890,2009/08/11,BP,50.83000,-0.007227
29890,2009/08/12,BP,50.30000,-0.010427
29890,2009/08/13,BP,50.68000,0.007555
29890,2009/08/14,BP,50.43000,-0.004933
29890,2009/08/17,BP,49.18000,-0.024787
29890,2009/08/18,BP,50.06000,0.017893
29890,2009/08/19,BP,50.64000,0.011586
29890,2009/08/20,BP,51.15000,0.010071
29890,2009/08/21,BP,52.25000,0.021505
29890,2009/08/24,BP,51.88000,-0.007081
29890,2009/08/25,BP,51.93000,0.000964
29890,2009/08/26,BP,51.37000,-0.010784
29890,2009/08/27,BP,51.88000,0.009928
29890,2009/08/28,BP,51.98000,0.001927
29890,2009/08/31,BP,51.45000,-0.010196
29890,2009/09/01,BP,50.47000,-0.019048
29890,2009/09/02,BP,52.53000,0.040816
29890,2009/09/03,BP,52.80000,0.005140
29890,2009/09/04,BP,53.19000,0.007386
29890,2009/09/08,BP,54.16000,0.018237
29890,2009/09/09,BP,54.95000,0.014586
29890,2009/09/10,BP,55.04000,0.001638
29890,2009/09/11,BP,54.58000,-0.008358
29890,2009/09/14,BP,54.29000,-0.005313
29890,2009/09/15,BP,54.12000,-0.003131
29890,2009/09/16,BP,54.65000,0.009793
29890,2009/09/17,BP,54.80000,0.002745
29890,2009/09/18,BP,54.79000,-0.000182
29890,2009/09/21,BP,54.41000,-0.006936
29890,2009/09/22,BP,55.39000,0.018011
29890,2009/09/23,BP,54.24000,-0.020762
29890,2009/09/24,BP,53.19000,-0.019358
29890,2009/09/25,BP,52.92000,-0.005076
29890,2009/09/28,BP,53.56000,0.012094
29890,2009/09/29,BP,53.61000,0.000934
29890,2009/09/30,BP,53.23000,-0.007088
29890,2009/10/01,BP,51.78000,-0.027240
29890,2009/10/02,BP,50.73000,-0.020278
29890,2009/10/05,BP,51.44000,0.013996
29890,2009/10/06,BP,52.50000,0.020607
29890,2009/10/07,BP,52.23000,-0.005143
29890,2009/10/08,BP,52.76000,0.010147
29890,2009/10/09,BP,52.27000,-0.009287
29890,2009/10/12,BP,52.64000,0.007079
29890,2009/10/13,BP,52.68000,0.000760
29890,2009/10/14,BP,53.66000,0.018603
29890,2009/10/15,BP,54.76000,0.020499
29890,2009/10/16,BP,55.01000,0.004565
29890,2009/10/19,BP,56.40000,0.025268
29890,2009/10/20,BP,56.18000,-0.003901
29890,2009/10/21,BP,56.42000,0.004272
29890,2009/10/22,BP,56.64000,0.003899
29890,2009/10/23,BP,55.42000,-0.021540
29890,2009/10/26,BP,55.48000,0.001083
29890,2009/10/27,BP,57.82000,0.042177
29890,2009/10/28,BP,56.82000,-0.017295
29890,2009/10/29,BP,58.30000,0.026047
29890,2009/10/30,BP,56.62000,-0.028816
29890,2009/11/02,BP,57.27000,0.011480
29890,2009/11/03,BP,57.55000,0.004889
29890,2009/11/04,BP,57.58000,0.000521
29890,2009/11/05,BP,58.53000,0.016499
29890,2009/11/06,BP,58.43000,-0.001708
29890,2009/11/09,BP,59.93000,0.025672
29890,2009/11/10,BP,59.13000,-0.013349
29890,2009/11/11,BP,58.33000,-0.013529
29890,2009/11/12,BP,57.27000,-0.018172
29890,2009/11/13,BP,58.35000,0.018858
29890,2009/11/16,BP,59.26000,0.015596
29890,2009/11/17,BP,59.50000,0.004050
29890,2009/11/18,BP,59.24000,-0.004370
29890,2009/11/19,BP,58.63000,-0.010297
29890,2009/11/20,BP,57.83000,-0.013645
29890,2009/11/23,BP,58.64000,0.014007
29890,2009/11/24,BP,58.72000,0.001364
29890,2009/11/25,BP,59.22000,0.008515
29890,2009/11/27,BP,58.11000,-0.018744
29890,2009/11/30,BP,57.18000,-0.016004
29890,2009/12/01,BP,58.58000,0.024484
29890,2009/12/02,BP,58.64000,0.001024
29890,2009/12/03,BP,57.62000,-0.017394
29890,2009/12/04,BP,57.86000,0.004165
29890,2009/12/07,BP,58.17000,0.005358
29890,2009/12/08,BP,57.04000,-0.019426
29890,2009/12/09,BP,56.70000,-0.005961
29890,2009/12/10,BP,56.39000,-0.005467
29890,2009/12/11,BP,56.45000,0.001064
29890,2009/12/14,BP,56.77000,0.005669
29890,2009/12/15,BP,56.43000,-0.005989
29890,2009/12/16,BP,57.04000,0.010810
29890,2009/12/17,BP,55.90000,-0.019986
29890,2009/12/18,BP,56.18000,0.005009
29890,2009/12/21,BP,57.24000,0.018868
29890,2009/12/22,BP,57.48000,0.004193
29890,2009/12/23,BP,57.91000,0.007481
29890,2009/12/24,BP,58.24000,0.005699
29890,2009/12/28,BP,58.63000,0.006696
29890,2009/12/29,BP,58.05000,-0.009893
29890,2009/12/30,BP,58.16000,0.001895
29890,2009/12/31,BP,57.97000,-0.003267
29890,2010/01/04,BP,59.15000,0.020355
29890,2010/01/05,BP,59.57000,0.007101
29890,2010/01/06,BP,59.88000,0.005204
29890,2010/01/07,BP,59.86000,-0.000334
29890,2010/01/08,BP,60.00000,0.002339
29890,2010/01/11,BP,61.89000,0.031500
29890,2010/01/12,BP,61.50000,-0.006301
29890,2010/01/13,BP,61.80000,0.004878
29890,2010/01/14,BP,61.73000,-0.001133
29890,2010/01/15,BP,61.64000,-0.001458
29890,2010/01/19,BP,62.32000,0.011032
29890,2010/01/20,BP,61.06000,-0.020218
29890,2010/01/21,BP,59.57000,-0.024402
29890,2010/01/22,BP,57.87000,-0.028538
29890,2010/01/25,BP,58.55000,0.011750
29890,2010/01/26,BP,58.49000,-0.001025
